Date,Region,Service_Line,Industry,Revenue,Cost,Profit,Quarter
2024-10-05,APAC,Audit Services,Finance,17644,15033,2610,Q4-2024
2024-10-18,Europe,Tech Implementation,Energy,39568,24396,15171,Q4-2024
2024-12-05,LATAM,Audit Services,Retail,44480,39783,4696,Q4-2024
2025-05-02,Europe,Strategy Consulting,Government,29661,12909,16751,Q2-2025
2024-05-02,LATAM,Audit Services,Finance,17358,13278,4079,Q2-2024
2025-03-15,North America,Strategy Consulting,Retail,9699,3756,5942,Q1-2025
2025-08-17,Europe,Strategy Consulting,Retail,63829,27967,35861,Q3-2025
2024-08-27,APAC,Audit Services,Finance,22866,17890,4976,Q3-2024
2025-01-26,LATAM,Tech Implementation,Finance,28100,18585,9514,Q1-2025
2024-11-12,APAC,Audit Services,Energy,10109,7952,2156,Q4-2024
2024-08-30,APAC,Audit Services,Finance,16633,13641,2992,Q3-2024
2024-04-06,APAC,Risk Advisory,Retail,37664,25315,12348,Q2-2024
2024-04-03,Europe,Strategy Consulting,Retail,119044,44366,74678,Q2-2024
2025-07-17,North America,Audit Services,Energy,59179,44643,14535,Q3-2025
2025-10-26,Europe,Strategy Consulting,Retail,52852,24128,28724,Q4-2025
2024-02-20,Europe,Audit Services,Finance,34792,27486,7306,Q1-2024
2025-08-02,LATAM,Strategy Consulting,Energy,63940,24882,39058,Q3-2025
2025-06-26,APAC,Audit Services,Energy,53092,45768,7324,Q2-2025
2024-10-31,Europe,Risk Advisory,Finance,52722,34623,18098,Q4-2024
2024-08-22,LATAM,Strategy Consulting,Healthcare,111078,54183,56894,Q3-2024
2024-05-12,North America,Tech Implementation,Finance,23943,13921,10021,Q2-2024
2024-05-25,APAC,Tech Implementation,Finance,46502,25764,20737,Q2-2024
2025-04-25,APAC,Strategy Consulting,Healthcare,115362,45056,70305,Q2-2025
2024-04-15,LATAM,Strategy Consulting,Energy,78576,29831,48744,Q2-2024
2025-04-24,APAC,Strategy Consulting,Government,66441,25576,40864,Q2-2025
2025-04-11,North America,Risk Advisory,Government,51948,29960,21987,Q2-2025
2025-11-21,North America,Risk Advisory,Finance,74807,52388,22418,Q4-2025
2024-02-20,APAC,Strategy Consulting,Finance,64792,32364,32428,Q1-2024
2025-09-09,LATAM,Strategy Consulting,Energy,57907,17574,40333,Q3-2025
2024-12-24,APAC,Risk Advisory,Finance,38945,25116,13828,Q4-2024
2024-10-07,Europe,Risk Advisory,Retail,69087,50010,19076,Q4-2024
2025-02-25,LATAM,Strategy Consulting,Energy,90796,37664,53132,Q1-2025
2024-07-30,LATAM,Risk Advisory,Government,37891,24083,13807,Q3-2024
2024-07-03,LATAM,Strategy Consulting,Government,107841,50022,57818,Q3-2024
2024-08-15,LATAM,Risk Advisory,Finance,45020,33106,11913,Q3-2024
2024-12-12,Europe,Risk Advisory,Healthcare,47515,35500,12014,Q4-2024
2025-07-01,North America,Risk Advisory,Finance,19337,10991,8345,Q3-2025
2025-11-10,LATAM,Risk Advisory,Retail,36462,20628,15833,Q4-2025
2024-09-20,APAC,Strategy Consulting,Government,104967,44511,60455,Q3-2024
2025-01-24,APAC,Tech Implementation,Government,36485,23358,13126,Q1-2025
2025-12-28,LATAM,Strategy Consulting,Healthcare,59769,27824,31944,Q4-2025
2024-04-11,LATAM,Risk Advisory,Energy,11288,6457,4830,Q2-2024
2025-05-09,North America,Audit Services,Government,25318,20239,5078,Q2-2025
2025-05-22,Europe,Risk Advisory,Healthcare,36935,25855,11079,Q2-2025
2024-09-10,APAC,Strategy Consulting,Finance,68829,29019,39809,Q3-2024
2024-02-06,Europe,Tech Implementation,Energy,13072,9352,3719,Q1-2024
2024-07-07,LATAM,Risk Advisory,Retail,65458,37311,28146,Q3-2024
2024-02-03,North America,Strategy Consulting,Retail,70636,29586,41049,Q1-2024
2024-04-26,North America,Risk Advisory,Energy,66384,41724,24659,Q2-2024
2025-02-07,North America,Tech Implementation,Finance,60169,34239,25929,Q1-2025
2025-02-18,APAC,Risk Advisory,Healthcare,65492,49099,16392,Q1-2025
2024-05-27,LATAM,Tech Implementation,Retail,55385,33817,21567,Q2-2024
2025-03-02,LATAM,Audit Services,Energy,31303,27443,3859,Q1-2025
2024-03-31,North America,Audit Services,Healthcare,21971,18686,3284,Q1-2024
2024-04-21,LATAM,Risk Advisory,Retail,69784,49466,20317,Q2-2024
2024-01-01,LATAM,Tech Implementation,Finance,17666,10179,7486,Q1-2024
2024-09-07,APAC,Risk Advisory,Government,59166,34893,24272,Q3-2024
2025-07-15,North America,Strategy Consulting,Government,69597,29055,40541,Q3-2025
2024-12-07,APAC,Tech Implementation,Energy,61107,41299,19807,Q4-2024
2024-04-05,Europe,Tech Implementation,Finance,13083,8249,4833,Q2-2024
2024-10-31,APAC,Strategy Consulting,Retail,16132,7256,8876,Q4-2024
2025-10-13,Europe,Strategy Consulting,Finance,54565,21881,32684,Q4-2025
2025-10-23,LATAM,Strategy Consulting,Government,21471,9044,12426,Q4-2025
2025-04-08,APAC,Audit Services,Finance,48080,39918,8161,Q2-2025
2025-08-24,Europe,Audit Services,Finance,26460,22470,3989,Q3-2025
2024-05-31,APAC,Strategy Consulting,Retail,82389,38846,43542,Q2-2024
2024-02-17,North America,Risk Advisory,Government,34602,19554,15047,Q1-2024
2024-01-03,LATAM,Risk Advisory,Energy,72386,39930,32455,Q1-2024
2024-02-05,APAC,Risk Advisory,Retail,63874,41534,22339,Q1-2024
2024-03-11,LATAM,Strategy Consulting,Retail,78433,32378,46055,Q1-2024
2024-11-22,Europe,Strategy Consulting,Finance,75051,33456,41594,Q4-2024
2025-03-26,Europe,Tech Implementation,Retail,21020,13147,7872,Q1-2025
2024-06-05,LATAM,Risk Advisory,Government,18818,13902,4915,Q2-2024
2025-09-27,LATAM,Audit Services,Finance,20880,15863,5016,Q3-2025
2024-12-30,North America,Audit Services,Healthcare,19444,17265,2178,Q4-2024
2024-06-09,Europe,Tech Implementation,Finance,45371,29095,16275,Q2-2024
2025-06-26,Europe,Strategy Consulting,Healthcare,39468,19031,20436,Q2-2025
2024-05-05,North America,Tech Implementation,Retail,45023,32764,12258,Q2-2024
2024-09-26,APAC,Audit Services,Government,21877,18492,3385,Q3-2024
2024-10-03,LATAM,Risk Advisory,Government,16099,10498,5600,Q4-2024
2025-06-24,North America,Audit Services,Finance,55398,49357,6040,Q2-2025
2024-01-20,Europe,Audit Services,Healthcare,16927,14313,2613,Q1-2024
2025-05-22,APAC,Audit Services,Finance,17582,15258,2323,Q2-2025
2024-10-21,APAC,Tech Implementation,Finance,75762,42107,33654,Q4-2024
2025-11-09,APAC,Audit Services,Government,14365,12728,1637,Q4-2025
2024-04-09,North America,Strategy Consulting,Energy,67300,21037,46263,Q2-2024
2025-03-13,North America,Strategy Consulting,Retail,79129,36640,42489,Q1-2025
2024-03-14,North America,Strategy Consulting,Government,86277,33301,52975,Q1-2024
2025-05-28,APAC,Audit Services,Government,39753,32574,7179,Q2-2025
2024-09-20,North America,Audit Services,Healthcare,63002,49302,13699,Q3-2024
2024-03-23,Europe,Risk Advisory,Healthcare,15359,9199,6159,Q1-2024
2024-04-26,Europe,Risk Advisory,Finance,8763,6333,2429,Q2-2024
2024-07-08,APAC,Audit Services,Government,12142,10311,1831,Q3-2024
2024-09-13,North America,Risk Advisory,Retail,12869,8767,4101,Q3-2024
2024-07-11,North America,Risk Advisory,Government,33104,24130,8973,Q3-2024
2024-09-12,APAC,Risk Advisory,Energy,49899,29858,20040,Q3-2024
2025-10-31,Europe,Risk Advisory,Finance,64270,38372,25897,Q4-2025
2025-08-31,APAC,Strategy Consulting,Healthcare,101544,40472,61071,Q3-2025
2025-05-17,North America,Strategy Consulting,Finance,111271,40020,71250,Q2-2025
2025-12-03,LATAM,Risk Advisory,Healthcare,76480,55269,21210,Q4-2025
2024-01-13,LATAM,Risk Advisory,Government,72986,48065,24920,Q1-2024
2025-01-23,APAC,Audit Services,Finance,56668,44422,12245,Q1-2025
2024-07-18,Europe,Audit Services,Energy,6949,5582,1366,Q3-2024
2025-09-26,Europe,Tech Implementation,Retail,73946,54208,19737,Q3-2025
2024-01-29,Europe,Audit Services,Government,29909,26755,3153,Q1-2024
2024-10-27,North America,Strategy Consulting,Energy,42630,18865,23764,Q4-2024
2025-05-18,Europe,Strategy Consulting,Energy,13411,5771,7640,Q2-2025
2024-10-26,APAC,Strategy Consulting,Energy,81747,27169,54577,Q4-2024
2025-06-09,LATAM,Tech Implementation,Retail,41656,24300,17355,Q2-2025
2025-02-05,Europe,Audit Services,Retail,26043,19889,6153,Q1-2025
2025-08-17,LATAM,Strategy Consulting,Government,36924,12477,24446,Q3-2025
2024-05-02,North America,Audit Services,Retail,17889,14842,3046,Q2-2024
2025-05-13,LATAM,Risk Advisory,Healthcare,42651,23934,18716,Q2-2025
2025-06-17,APAC,Strategy Consulting,Energy,47946,18953,28992,Q2-2025
2025-06-12,Europe,Strategy Consulting,Finance,44191,17579,26612,Q2-2025
2025-07-09,APAC,Audit Services,Energy,31812,25197,6614,Q3-2025
2025-09-30,Europe,Risk Advisory,Finance,25058,15681,9376,Q3-2025
2025-03-03,LATAM,Strategy Consulting,Energy,32092,11454,20638,Q1-2025
2025-02-05,Europe,Strategy Consulting,Government,102768,33963,68804,Q1-2025
2024-12-15,LATAM,Audit Services,Healthcare,47362,40494,6867,Q4-2024
2025-10-25,North America,Risk Advisory,Retail,72402,50783,21618,Q4-2025
2025-05-12,Europe,Risk Advisory,Energy,20178,14527,5650,Q2-2025
2024-09-22,LATAM,Audit Services,Finance,38732,29270,9461,Q3-2024
2025-08-31,Europe,Strategy Consulting,Government,98862,33160,65701,Q3-2025
2024-07-07,APAC,Tech Implementation,Healthcare,64074,46217,17856,Q3-2024
2024-08-20,APAC,Strategy Consulting,Healthcare,85132,30211,54921,Q3-2024
2025-12-23,North America,Audit Services,Healthcare,4374,3904,469,Q4-2025
2025-03-27,LATAM,Risk Advisory,Retail,31846,20000,11845,Q1-2025
2024-12-23,LATAM,Audit Services,Government,6160,5275,884,Q4-2024
2024-01-14,Europe,Strategy Consulting,Government,80839,39505,41333,Q1-2024
2024-05-30,Europe,Risk Advisory,Government,5855,4251,1603,Q2-2024
2024-03-13,LATAM,Audit Services,Finance,4513,3798,715,Q1-2024
2025-03-28,North America,Risk Advisory,Retail,15788,11040,4747,Q1-2025
2025-10-02,LATAM,Audit Services,Government,36720,30991,5729,Q4-2025
2024-01-29,Europe,Audit Services,Energy,38934,30959,7974,Q1-2024
2025-07-25,North America,Strategy Consulting,Healthcare,17619,7676,9942,Q3-2025
2025-09-08,LATAM,Audit Services,Government,19574,15450,4124,Q3-2025
2025-07-02,APAC,Strategy Consulting,Finance,101169,38936,62232,Q3-2025
2025-07-22,APAC,Strategy Consulting,Retail,30304,10283,20020,Q3-2025
2025-07-28,Europe,Audit Services,Government,32452,28511,3941,Q3-2025
2025-07-01,Europe,Audit Services,Healthcare,42676,35381,7294,Q3-2025
2025-01-28,Europe,Tech Implementation,Government,37145,23984,13160,Q1-2025
2025-09-17,Europe,Audit Services,Retail,32020,25958,6062,Q3-2025
2025-03-22,North America,Tech Implementation,Retail,17210,9501,7708,Q1-2025
2025-12-20,North America,Tech Implementation,Healthcare,55398,31329,24068,Q4-2025
2024-06-28,Europe,Risk Advisory,Healthcare,5812,4307,1504,Q2-2024
2025-06-30,Europe,Tech Implementation,Government,59177,40143,19033,Q2-2025
2025-11-10,North America,Tech Implementation,Healthcare,39559,23368,16190,Q4-2025
2025-01-16,North America,Risk Advisory,Finance,62515,42241,20273,Q1-2025
2025-10-24,Europe,Tech Implementation,Government,75268,43291,31976,Q4-2025
2024-10-07,APAC,Risk Advisory,Government,42575,26202,16372,Q4-2024
2025-03-14,North America,Strategy Consulting,Government,14515,6605,7909,Q1-2025
2025-05-07,North America,Tech Implementation,Healthcare,15271,10303,4967,Q2-2025
2025-05-25,APAC,Tech Implementation,Finance,70764,44988,25775,Q2-2025
2025-04-16,APAC,Risk Advisory,Energy,76711,42493,34217,Q2-2025
2024-06-28,North America,Strategy Consulting,Finance,86725,30317,56407,Q2-2024
2025-03-30,North America,Strategy Consulting,Government,10794,4773,6020,Q1-2025
2025-01-30,LATAM,Risk Advisory,Finance,26488,18847,7640,Q1-2025
2025-11-24,APAC,Audit Services,Government,23375,20742,2632,Q4-2025
2024-03-03,APAC,Audit Services,Healthcare,36784,30307,6476,Q1-2024
2024-08-04,LATAM,Strategy Consulting,Government,100683,33886,66796,Q3-2024
2024-09-06,APAC,Strategy Consulting,Retail,24874,11894,12979,Q3-2024
2025-12-27,LATAM,Strategy Consulting,Healthcare,46980,19757,27222,Q4-2025
2025-07-01,Europe,Risk Advisory,Retail,50000,31110,18889,Q3-2025
2024-06-12,APAC,Audit Services,Healthcare,7157,5718,1439,Q2-2024
2024-03-01,LATAM,Audit Services,Healthcare,41892,31789,10103,Q1-2024
2024-02-26,Europe,Risk Advisory,Government,31366,20873,10492,Q1-2024
2025-08-02,LATAM,Strategy Consulting,Government,111847,38970,72877,Q3-2025
2025-12-24,North America,Strategy Consulting,Finance,21438,9439,11998,Q4-2025
2024-03-06,APAC,Tech Implementation,Government,5418,3953,1464,Q1-2024
2024-10-20,North America,Audit Services,Retail,24342,20333,4009,Q4-2024
2025-05-30,LATAM,Tech Implementation,Finance,77020,56397,20622,Q2-2025
2024-03-25,North America,Risk Advisory,Healthcare,53424,38470,14953,Q1-2024
2025-05-09,APAC,Tech Implementation,Retail,79588,45734,33853,Q2-2025
2024-04-28,North America,Risk Advisory,Government,71983,40268,31714,Q2-2024
2024-04-11,LATAM,Tech Implementation,Healthcare,46366,32795,13570,Q2-2024
2025-04-10,APAC,Audit Services,Healthcare,4372,3689,683,Q2-2025
2025-02-26,North America,Risk Advisory,Healthcare,14083,9313,4769,Q1-2025
2025-07-12,LATAM,Tech Implementation,Retail,48782,36527,12254,Q3-2025
2025-12-21,North America,Audit Services,Retail,44825,36590,8234,Q4-2025
2025-04-03,LATAM,Strategy Consulting,Retail,107982,48895,59086,Q2-2025
2025-06-09,North America,Audit Services,Retail,52750,46190,6559,Q2-2025
2025-11-18,LATAM,Strategy Consulting,Retail,38319,14352,23966,Q4-2025
2024-03-04,LATAM,Tech Implementation,Healthcare,23083,15350,7732,Q1-2024
2024-02-06,LATAM,Strategy Consulting,Energy,89454,37901,51552,Q1-2024
2025-02-20,North America,Risk Advisory,Finance,45378,26453,18924,Q1-2025
2025-09-19,Europe,Strategy Consulting,Healthcare,12736,5375,7361,Q3-2025
2024-07-10,APAC,Audit Services,Retail,19198,16683,2514,Q3-2024
2024-03-02,North America,Strategy Consulting,Healthcare,73407,35102,38304,Q1-2024
2024-08-01,North America,Tech Implementation,Finance,38971,23308,15662,Q3-2024
2024-04-19,Europe,Tech Implementation,Government,35499,23475,12023,Q2-2024
2025-09-02,LATAM,Strategy Consulting,Retail,20877,7225,13651,Q3-2025
2024-03-14,North America,Tech Implementation,Retail,24282,18114,6167,Q1-2024
2024-06-18,Europe,Audit Services,Energy,16337,12588,3749,Q2-2024
2024-11-08,APAC,Tech Implementation,Energy,60080,44210,15869,Q4-2024
2024-02-16,Europe,Tech Implementation,Energy,67873,49239,18633,Q1-2024
2024-01-03,APAC,Strategy Consulting,Retail,86707,40483,46223,Q1-2024
2024-11-24,Europe,Tech Implementation,Government,31818,23692,8125,Q4-2024
2024-11-11,APAC,Tech Implementation,Healthcare,52402,38676,13725,Q4-2024
2024-10-11,Europe,Risk Advisory,Retail,17547,9666,7880,Q4-2024
2024-05-07,Europe,Risk Advisory,Energy,8417,5792,2624,Q2-2024
2025-04-03,APAC,Audit Services,Energy,19586,16779,2807,Q2-2025
2025-07-22,Europe,Audit Services,Retail,21521,16838,4683,Q3-2025
2024-03-13,APAC,Strategy Consulting,Retail,59044,25164,33879,Q1-2024
2024-10-07,LATAM,Tech Implementation,Finance,53882,33125,20756,Q4-2024
2024-03-21,APAC,Tech Implementation,Retail,60589,37228,23360,Q1-2024
2025-09-22,North America,Strategy Consulting,Healthcare,116880,40609,76270,Q3-2025
2024-03-03,APAC,Risk Advisory,Retail,38254,24428,13825,Q1-2024
2025-10-30,North America,Risk Advisory,Finance,52808,36055,16752,Q4-2025
2024-08-18,Europe,Tech Implementation,Retail,31181,20461,10719,Q3-2024
2025-09-18,North America,Audit Services,Government,36740,28222,8518,Q3-2025
2024-04-22,North America,Tech Implementation,Healthcare,46896,29411,17484,Q2-2024
2025-10-10,APAC,Tech Implementation,Energy,52555,29366,23188,Q4-2025
2024-04-06,LATAM,Tech Implementation,Retail,29478,17854,11623,Q2-2024
2025-06-07,LATAM,Strategy Consulting,Finance,118710,41942,76767,Q2-2025
2025-07-22,Europe,Strategy Consulting,Healthcare,104475,51188,53286,Q3-2025
2025-01-23,APAC,Audit Services,Retail,58224,48113,10111,Q1-2025
2025-10-18,APAC,Audit Services,Finance,7303,6484,818,Q4-2025
2025-05-15,Europe,Tech Implementation,Finance,10482,7284,3197,Q2-2025
2024-12-02,APAC,Audit Services,Healthcare,38636,31177,7458,Q4-2024
2025-08-30,LATAM,Strategy Consulting,Retail,98032,43941,54090,Q3-2025
2024-05-30,LATAM,Tech Implementation,Finance,23474,13740,9733,Q2-2024
2025-04-30,Europe,Audit Services,Healthcare,26831,22763,4067,Q2-2025
2024-08-11,APAC,Tech Implementation,Healthcare,19202,12626,6575,Q3-2024
2025-08-15,APAC,Tech Implementation,Government,79348,59347,20000,Q3-2025
2025-03-17,LATAM,Strategy Consulting,Finance,116319,41870,74448,Q1-2025
2025-03-02,APAC,Tech Implementation,Healthcare,17791,9809,7981,Q1-2025
2025-05-23,APAC,Tech Implementation,Finance,50279,34239,16039,Q2-2025
2024-11-08,LATAM,Audit Services,Government,31379,23934,7444,Q4-2024
2025-09-17,APAC,Audit Services,Government,30572,24138,6434,Q3-2025
2025-09-02,North America,Tech Implementation,Finance,10160,6376,3783,Q3-2025
2025-06-29,LATAM,Audit Services,Finance,46729,36899,9830,Q2-2025
2025-12-04,LATAM,Strategy Consulting,Healthcare,72432,22804,49627,Q4-2025
2024-09-09,Europe,Strategy Consulting,Finance,75274,23404,51870,Q3-2024
2024-11-27,APAC,Strategy Consulting,Energy,80316,36250,44065,Q4-2024
2024-11-08,North America,Tech Implementation,Retail,30611,22832,7778,Q4-2024
2024-03-05,Europe,Strategy Consulting,Energy,94120,33849,60270,Q1-2024
2024-07-11,North America,Risk Advisory,Retail,64389,46767,17621,Q3-2024
2024-02-03,APAC,Risk Advisory,Energy,32003,18377,13625,Q1-2024
2025-01-26,APAC,Tech Implementation,Healthcare,28464,19914,8549,Q1-2025
2024-10-26,APAC,Risk Advisory,Finance,22994,17089,5904,Q4-2024
2024-07-24,APAC,Tech Implementation,Finance,67007,48564,18442,Q3-2024
2025-05-30,Europe,Strategy Consulting,Finance,26619,11830,14788,Q2-2025
2024-05-22,APAC,Strategy Consulting,Finance,112716,49927,62788,Q2-2024
2025-06-20,APAC,Tech Implementation,Healthcare,34430,21522,12907,Q2-2025
2025-05-22,LATAM,Audit Services,Healthcare,9052,7729,1323,Q2-2025
2024-10-16,Europe,Strategy Consulting,Retail,10447,4402,6044,Q4-2024
2024-02-19,Europe,Tech Implementation,Government,49232,29754,19477,Q1-2024
2025-05-03,LATAM,Tech Implementation,Finance,30682,17977,12704,Q2-2025
2024-05-31,LATAM,Tech Implementation,Retail,71416,44932,26483,Q2-2024
2025-02-05,APAC,Strategy Consulting,Healthcare,13147,5127,8019,Q1-2025
2025-08-26,LATAM,Tech Implementation,Healthcare,79943,53488,26454,Q3-2025
2024-01-11,North America,Strategy Consulting,Retail,116374,44308,72066,Q1-2024
2024-07-16,North America,Strategy Consulting,Government,96615,31951,64663,Q3-2024
2024-04-15,Europe,Audit Services,Government,28600,21984,6615,Q2-2024
2025-12-11,APAC,Risk Advisory,Finance,32793,21409,11383,Q4-2025
2024-12-11,LATAM,Audit Services,Retail,6672,5647,1024,Q4-2024
2024-09-18,APAC,Risk Advisory,Energy,33849,25128,8720,Q3-2024
2024-02-28,Europe,Tech Implementation,Government,46904,30930,15973,Q1-2024
2025-06-06,APAC,Risk Advisory,Retail,67289,45854,21434,Q2-2025
2025-04-27,North America,Risk Advisory,Retail,48142,34740,13401,Q2-2025
2024-07-28,APAC,Risk Advisory,Energy,46097,27576,18520,Q3-2024
2025-12-31,LATAM,Tech Implementation,Retail,44193,29528,14664,Q4-2025
2024-04-17,North America,Tech Implementation,Retail,28029,19088,8940,Q2-2024
2025-10-03,LATAM,Risk Advisory,Retail,35338,23329,12008,Q4-2025
2024-07-05,North America,Risk Advisory,Energy,27685,17162,10522,Q3-2024
2024-11-20,Europe,Audit Services,Government,28271,22602,5669,Q4-2024
2025-09-27,Europe,Tech Implementation,Finance,68963,38296,30666,Q3-2025
2024-07-30,Europe,Audit Services,Energy,10459,8915,1543,Q3-2024
2025-01-29,LATAM,Risk Advisory,Healthcare,15863,9561,6301,Q1-2025
2025-06-03,North America,Tech Implementation,Finance,18872,13472,5399,Q2-2025
2025-04-15,APAC,Audit Services,Retail,12367,9727,2639,Q2-2025
2025-06-14,Europe,Strategy Consulting,Government,76765,27945,48820,Q2-2025
2024-05-11,LATAM,Audit Services,Retail,62848,52762,10086,Q2-2024
2025-12-24,LATAM,Risk Advisory,Healthcare,12410,8147,4262,Q4-2025
2024-01-14,North America,Strategy Consulting,Finance,18306,7492,10813,Q1-2024
2025-03-11,North America,Strategy Consulting,Healthcare,66634,21546,45088,Q1-2025
2024-12-26,Europe,Risk Advisory,Healthcare,13596,9587,4008,Q4-2024
2024-02-14,LATAM,Tech Implementation,Energy,63582,38406,25175,Q1-2024
2025-01-16,Europe,Strategy Consulting,Retail,94701,41983,52717,Q1-2025
2024-08-10,APAC,Strategy Consulting,Healthcare,44976,17912,27063,Q3-2024
2025-06-20,Europe,Strategy Consulting,Retail,16681,7109,9571,Q2-2025
2024-09-18,North America,Audit Services,Healthcare,16250,14302,1947,Q3-2024
2025-05-19,APAC,Tech Implementation,Energy,33412,22601,10810,Q2-2025
2024-04-22,APAC,Tech Implementation,Finance,48637,33732,14904,Q2-2024
2024-08-06,LATAM,Audit Services,Energy,7803,6587,1215,Q3-2024
2025-12-30,North America,Risk Advisory,Healthcare,10258,6154,4103,Q4-2025
2025-08-31,APAC,Audit Services,Retail,46965,40613,6352,Q3-2025
2024-10-14,APAC,Audit Services,Retail,23372,19227,4144,Q4-2024
2024-06-13,Europe,Tech Implementation,Retail,6692,4966,1725,Q2-2024
2024-05-24,Europe,Audit Services,Retail,20749,16963,3786,Q2-2024
2025-01-29,North America,Risk Advisory,Finance,65553,36540,29012,Q1-2025
2025-08-25,North America,Tech Implementation,Finance,53203,29645,23557,Q3-2025
2024-10-01,APAC,Strategy Consulting,Healthcare,83386,36607,46779,Q4-2024
2025-08-01,APAC,Risk Advisory,Healthcare,14553,9081,5471,Q3-2025
2024-10-03,LATAM,Tech Implementation,Government,53479,39245,14233,Q4-2024
2025-09-24,APAC,Strategy Consulting,Retail,41707,13163,28543,Q3-2025
2024-11-17,North America,Risk Advisory,Retail,20714,14229,6484,Q4-2024
2025-10-01,Europe,Risk Advisory,Energy,22524,16551,5972,Q4-2025
2025-02-21,Europe,Risk Advisory,Energy,76599,49353,27245,Q1-2025
2024-10-07,North America,Tech Implementation,Finance,73978,49251,24726,Q4-2024
2024-04-13,LATAM,Audit Services,Government,5462,4738,723,Q2-2024
2024-06-12,North America,Tech Implementation,Energy,63638,44958,18679,Q2-2024
2024-11-06,APAC,Risk Advisory,Healthcare,14397,10646,3750,Q4-2024
2024-07-12,Europe,Tech Implementation,Energy,53775,31165,22609,Q3-2024
2025-04-08,Europe,Risk Advisory,Finance,12540,7960,4579,Q2-2025
2025-12-08,North America,Strategy Consulting,Healthcare,60900,18727,42172,Q4-2025
2024-01-23,North America,Strategy Consulting,Retail,35073,15862,19210,Q1-2024
2024-10-23,North America,Strategy Consulting,Finance,67929,21750,46178,Q4-2024
2024-04-05,North America,Audit Services,Retail,36803,33089,3713,Q2-2024
2025-11-26,North America,Tech Implementation,Retail,14512,9010,5501,Q4-2025
2025-08-03,Europe,Strategy Consulting,Retail,16590,5460,11129,Q3-2025
2025-04-04,APAC,Tech Implementation,Energy,38408,22666,15741,Q2-2025
2025-10-26,North America,Audit Services,Healthcare,54187,47304,6882,Q4-2025
2024-08-05,LATAM,Strategy Consulting,Finance,57894,19075,38818,Q3-2024
2024-01-29,APAC,Risk Advisory,Energy,28834,16083,12750,Q1-2024
2024-08-26,Europe,Audit Services,Government,33217,29218,3999,Q3-2024
2024-01-09,North America,Strategy Consulting,Finance,89319,33952,55366,Q1-2024
2025-07-22,North America,Risk Advisory,Retail,37873,24757,13115,Q3-2025
2025-02-11,LATAM,Audit Services,Energy,29115,22747,6367,Q1-2025
2024-06-14,LATAM,Risk Advisory,Energy,5711,3612,2098,Q2-2024
2025-06-23,APAC,Strategy Consulting,Healthcare,93597,42593,51003,Q2-2025
2025-09-10,LATAM,Tech Implementation,Healthcare,15722,10397,5324,Q3-2025
2025-04-29,North America,Audit Services,Retail,8616,7078,1537,Q2-2025
2024-12-14,APAC,Tech Implementation,Healthcare,28893,19781,9111,Q4-2024
2024-07-06,Europe,Strategy Consulting,Energy,80284,37328,42955,Q3-2024
2025-09-24,Europe,Audit Services,Government,8309,6871,1438,Q3-2025
2025-10-06,North America,Audit Services,Retail,35732,29135,6597,Q4-2025
2024-06-19,North America,Strategy Consulting,Government,72277,24504,47772,Q2-2024
2025-04-07,North America,Risk Advisory,Retail,57072,37999,19072,Q2-2025
2024-08-06,APAC,Audit Services,Finance,39765,32028,7737,Q3-2024
2025-09-20,LATAM,Risk Advisory,Energy,49343,30743,18599,Q3-2025
2024-02-07,APAC,Tech Implementation,Government,78715,45876,32838,Q1-2024
2025-11-19,Europe,Audit Services,Healthcare,8536,6420,2116,Q4-2025
2024-10-08,Europe,Risk Advisory,Government,52152,30199,21952,Q4-2024
2024-02-01,North America,Audit Services,Healthcare,24820,18768,6052,Q1-2024
2025-07-26,North America,Tech Implementation,Government,47090,30669,16420,Q3-2025
2025-09-01,North America,Tech Implementation,Finance,9919,7431,2487,Q3-2025
2025-08-14,North America,Strategy Consulting,Healthcare,79179,39387,39791,Q3-2025
2025-05-22,APAC,Risk Advisory,Energy,57137,31688,25448,Q2-2025
2025-09-21,Europe,Risk Advisory,Government,76563,49547,27015,Q3-2025
2025-10-01,APAC,Tech Implementation,Finance,78217,49817,28399,Q4-2025
2024-04-25,Europe,Audit Services,Retail,14956,12443,2513,Q2-2024
2024-11-28,LATAM,Tech Implementation,Energy,20702,14787,5914,Q4-2024
2024-01-05,Europe,Risk Advisory,Finance,34050,24376,9673,Q1-2024
2024-05-22,Europe,Audit Services,Retail,56444,42351,14093,Q2-2024
2024-09-22,Europe,Audit Services,Government,34903,29231,5671,Q3-2024
2025-11-15,North America,Audit Services,Retail,63255,55193,8061,Q4-2025
2024-04-04,APAC,Strategy Consulting,Healthcare,64431,19743,44687,Q2-2024
2025-02-21,APAC,Strategy Consulting,Healthcare,32152,12766,19385,Q1-2025
2025-05-04,LATAM,Risk Advisory,Government,31437,19782,11654,Q2-2025
2024-08-31,APAC,Audit Services,Retail,7644,6524,1120,Q3-2024
2025-10-26,North America,Risk Advisory,Government,52788,30001,22786,Q4-2025
2025-06-01,North America,Risk Advisory,Energy,22658,16917,5740,Q2-2025
2024-02-04,APAC,Audit Services,Government,63791,52261,11530,Q1-2024
2024-05-29,North America,Audit Services,Healthcare,9915,7757,2157,Q2-2024
2025-11-16,North America,Risk Advisory,Government,31030,21226,9803,Q4-2025
2025-10-08,Europe,Risk Advisory,Retail,70918,40678,30239,Q4-2025
